,Fund Name,Fund Size,Largecap Holding,Midcap Holding,Smallcap Holding,Tinycap Holding,Stocks Held,Stocks Sector,Percent Held
0,Quant Focused Fund,77 Crs,82.29 %,16.63 %,1.08%,0%,"['Adani Enterprises Ltd.', 'Vedanta Ltd.', 'Adani Ports and Special Economic Zone Ltd.', 'ITC Ltd.', 'ICICI Bank Ltd.', 'IRB Infrastructure Developers Ltd.', 'State Bank of India', 'Ruchi Soya Inds. Ltd.', 'Gland Pharma Ltd.', 'Coal India Ltd.', 'Tata Steel Ltd.', 'Larsen & Toubro Ltd.', 'Piramal Enterprises Ltd.', 'TV18 Broadcast Ltd.', 'HDFC Bank Ltd.', 'Ambuja Cements Ltd.', 'Oil & Natural Gas Corpn. Ltd.', 'DLF Ltd.', 'Just Dial Ltd.', ""Dr. Reddy's Laboratories Ltd."", 'Aurobindo Pharma Ltd.']","['Services', 'Metals & Mining', 'Services', 'Consumer Staples', 'Financial', 'Construction', 'Financial', 'Consumer Staples', 'Healthcare', 'Materials', 'Metals & Mining', 'Construction', 'Healthcare', 'Services', 'Financial', 'Materials', 'Energy', 'Construction', 'Services', 'Healthcare', 'Healthcare']","['8.72%', '7.99%', '7.73%', '7.72%', '6.3%', '6.02%', '5.82%', '5.75%', '4.48%', '4.37%', '4.07%', '3.9%', '3.35%', '2.58%', '2.37%', '2.35%', '1.98%', '1.48%', '0.96%', '0.49%', '0.43%']"
1,Quant Tax Plan,"1,166 Crs",55.57 %,34.45 %,9.98%,0%,"['Vedanta Ltd.', 'Adani Enterprises Ltd.', 'Ruchi Soya Inds. Ltd.', 'State Bank of India', 'Adani Ports and Special Economic Zone Ltd.', 'ICICI Bank Ltd.', 'ITC Ltd.', 'Coal India Ltd.', 'Larsen & Toubro Ltd.', 'Indian Hotels Co. Ltd.', 'Himachal Futuristic Communications Ltd.', 'IRB Infrastructure Developers Ltd.', 'TV18 Broadcast Ltd.', 'Ashok Leyland Ltd.', 'Gland Pharma Ltd.', 'Linde India Ltd.', 'VRL Logistics Ltd.', 'Indiabulls Real Estate Ltd.', 'GMR Infrastructure Ltd.', 'Container Corpn. Of India Ltd.', 'Glenmark Pharmaceuticals Ltd.', 'Oracle Financial Services Software Ltd.', ""Dr. Reddy's Laboratories Ltd."", 'Tata Communications Ltd.', 'Ambuja Cements Ltd.', 'Prestige Estates Projects Ltd.', 'Indiabulls Housing Finance Ltd.', 'Fortis Healthcare (India) Ltd', 'Oil & Natural Gas Corpn. Ltd.', 'Gokaldas Exports Ltd.', 'Just Dial Ltd.', 'Stylam Industries Ltd.', 'Piramal Enterprises Ltd.', 'Aurobindo Pharma Ltd.', 'Caplin Point Laboratories Ltd.', 'Aegis Logistics Ltd.', 'Arvind Ltd.', 'Hindustan Copper Ltd.', 'Crisil Ltd.', 'Sun TV Network Ltd.', 'National Aluminium Co. Ltd.', 'Canara Bank', 'Macrotech Developers Ltd.', 'Tata Steel Ltd.', 'SP Apparels Ltd.', 'Himatsingka Seide Ltd.', 'Anupam Rasayan India Ltd.']","['Metals & Mining', 'Services', 'Consumer Staples', 'Financial', 'Services', 'Financial', 'Consumer Staples', 'Materials', 'Construction', 'Services', 'Communication', 'Construction', 'Services', 'Automobile', 'Healthcare', 'Chemicals', 'Services', 'Construction', 'Construction', 'Services', 'Healthcare', 'Technology', 'Healthcare', 'Communication', 'Materials', 'Construction', 'Financial', 'Healthcare', 'Energy', 'Textiles', 'Services', 'Materials', 'Healthcare', 'Healthcare', 'Healthcare', 'Services', 'Textiles', 'Metals & Mining', 'Services', 'Services', 'Metals & Mining', 'Financial', 'Construction', 'Metals & Mining', 'Textiles', 'Textiles', 'Chemicals']","['6.53%', '5.8%', '5.75%', '5.7%', '5.57%', '5.26%', '5.18%', '5.11%', '5.04%', '3.93%', '2.65%', '2.42%', '2.36%', '1.69%', '1.45%', '1.43%', '1.38%', '1.28%', '1.24%', '1.18%', '1.09%', '1.06%', '1.05%', '1.03%', '0.94%', '0.93%', '0.93%', '0.92%', '0.91%', '0.9%', '0.85%', '0.84%', '0.76%', '0.72%', '0.72%', '0.7%', '0.69%', '0.61%', '0.57%', '0.54%', '0.48%', '0.46%', '0.43%', '0.37%', '0.34%', '0.26%', '0.11%']"
2,Axis Growth Opportunities Fund,"7,250 Crs",55.43 %,41.6 %,2.97%,0%,"['Bajaj Finance Ltd.', 'PI Industries Ltd.', 'Tata Elxsi Ltd.', 'Cholamandalam Investment & Finance Co. Ltd.', 'Info Edge (India) Ltd.', 'Astral Poly Technik Ltd.', 'Torrent Power Ltd.', 'NIIT Technologies Ltd.', 'Avenue Supermarts Ltd.', 'Sundaram Finance Ltd.', 'TTK Prestige Ltd.', 'Indian Hotels Co. Ltd.', 'Microsoft Corportion (US)', 'Clean Science And Technology Ltd.', 'Gland Pharma Ltd.', 'Sona BLW Precision Forgings Ltd.', 'Alphabet Inc Class A', 'Supreme Industries Ltd.', 'Amazon. com Inc. (USA)', 'Pidilite Industries Ltd.', 'Sumitomo Chemical India Pvt. Ltd.', 'Persistent Systems Ltd.', ""Divi's Laboratories Ltd."", 'Adi Finechem Ltd.', 'Balrampur Chini Mills Ltd.', 'Crompton Greaves Ltd.', 'United Health Group Inc.', 'Astra Zeneca', 'Visa Inc', 'Anthem Inc.', 'Vijaya Diagnostic Centre Ltd.', 'American Express Company', 'Merck & Co Inc (US)', 'Procter & Gamble (USA)', 'Nestle S. A (Switzerland)', 'Union Pacific Corporation', 'Tata Consultancy Services Ltd.', 'Roche Holding AG Gen (UK)', 'JP Morgan Chase & Co. (US)', 'Autozone Inc', 'Booking Holdings Inc', 'Texas Instruments Inc. (US)', 'Diageo Plc', 'Edwards Lifesciences Corp', 'Facebook Co', 'Aptus Value Housing Finance India Ltd.', 'Adobe Systems Inc. (USA)', 'Taiwan Semiconductor Manufacturing Co Ltd. (Taiwan)', 'Endurance Technologies Ltd.', 'Lowe S Companies Inc (USA)', 'Fortive Corporation', 'AIA Group (Hongkong)', 'Infosys Ltd.', 'Sansera Engineering Ltd.', 'Vardhman Textiles Ltd.', 'Vedant Fashions Ltd.', 'Linde India Ltd.', 'FSN E-Commerce Ventures Ltd.', 'Central Depository Services (India) Ltd.', 'United Spirits Ltd.', 'HDFC Standard Life Insurance Company Ltd.', 'Motherson Sumi Systems Ltd.', 'Honeywell Automation India Ltd.', 'LatentView Analytics Ltd.', 'Tata Power Co. Ltd.', 'Motherson Sumi Wiring India Ltd.', 'Blue Dart Express Ltd.', 'Phoenix Mills Ltd.', 'Laurus Labs Ltd.', 'Alibaba Group Holdings Ltd.', 'Catholic Syrian Bank Ltd.', 'Chemplast Sanmar Ltd.', 'PB Fintech Ltd.', 'ICICI Securities Ltd.', 'Go Fashion (India) Ltd.']","['Financial', 'Chemicals', 'Technology', 'Financial', 'Services', 'Materials', 'Energy', 'Technology', 'Services', 'Financial', 'Consumer Discretionary', 'Services', 'Technology', 'Chemicals', 'Healthcare', 'Automobile', 'Services', 'Materials', 'Services', 'Chemicals', 'Chemicals', 'Technology', 'Healthcare', 'Chemicals', 'Consumer Staples', 'Capital Goods', 'Healthcare', 'Healthcare', 'Financial', 'Healthcare', 'Healthcare', 'Financial', 'Healthcare', 'Consumer Staples', 'Consumer Staples', 'Services', 'Technology', 'Financial', 'Financial', 'Services', 'Services', 'Capital Goods', 'Consumer Staples', 'Healthcare', 'Services', 'Financial', 'Technology', 'Capital Goods', 'Automobile', 'Consumer Discretionary', 'Capital Goods', 'Financial', 'Technology', 'Automobile', 'Textiles', 'Textiles', 'Chemicals', 'Services', 'Financial', 'Consumer Staples', 'Insurance', 'Automobile', 'Capital Goods', 'Technology', 'Energy', 'Automobile', 'Services', 'Construction', 'Healthcare', 'Services', 'Financial', 'Chemicals', 'Services', 'Financial', 'Services']","['8.77%', '5.25%', '4.4%', '4%', '3.71%', '3.71%', '3.65%', '3.64%', '3.49%', '3.07%', '1.89%', '1.5%', '1.39%', '1.35%', '1.33%', '1.23%', '1.22%', '1.16%', '1.14%', '1.07%', '0.98%', '0.98%', '0.95%', '0.93%', '0.91%', '0.89%', '0.88%', '0.87%', '0.83%', '0.82%', '0.81%', '0.79%', '0.78%', '0.78%', '0.78%', '0.78%', '0.78%', '0.74%', '0.72%', '0.71%', '0.7%', '0.69%', '0.69%', '0.68%', '0.65%', '0.61%', '0.61%', '0.6%', '0.59%', '0.59%', '0.55%', '0.53%', '0.53%', '0.47%', '0.47%', '0.44%', '0.38%', '0.37%', '0.34%', '0.31%', '0.3%', '0.18%', '0.14%', '0.13%', '0.09%', '0.08%', '0.08%', '0.02%', '0.02%', '0.02%', '0.01%', '0.01%', '0.01%', '0.01%', '0.01%']"
3,Canara Robeco Small Cap Fund,"2,344 Crs",4.61 %,46.94 %,48.45%,0%,"['KPR Mills Ltd.', 'Schaeffler India Ltd.', 'Can Fin Homes Ltd.', 'Cera Sanitaryware Ltd.', 'Persistent Systems Ltd.', 'MindTree Ltd.', 'Grindwell Norton Ltd.', 'Balrampur Chini Mills Ltd.', 'Orient Refractories Limited', 'VRL Logistics Ltd.', 'Mahindra Lifespace Developers Ltd.', 'City Union Bank Ltd.', 'Greenpanel Industries Ltd.', 'KNR Constructions Ltd.', 'VIP Industries Ltd.', 'Grameen Financial Services Pvt Ltd.', 'PNC Infratech Ltd.', 'UTI Asset Management Company Ltd.', 'TeamLease Services Ltd.', 'Angel Broking Ltd.', 'Great Eastern Shipping Company Ltd.', 'EID-Parry (India) Ltd.', 'National Aluminium Co. Ltd.', 'Ultratech Cement Ltd.', 'V-Mart Retail Ltd.', 'Century Textiles & Industries Ltd.', 'PVR Ltd.', 'Mold-Tek Packaging Ltd.', 'NOCIL Ltd.', 'Aditya Birla Fashion and Retail Ltd.', 'Indian Energy Exchange Ltd.', 'Sobha Ltd.', 'Equitas Micro Finance India Pvt Ltd.', 'Indian Bank', 'TCI Express Ltd.', 'Computer Age Management Services Ltd.', 'Greenply Industries Ltd.', 'ICRA Ltd.', 'BSE Ltd.', 'Timken India Ltd.', 'Suven Pharmaceutical Ltd.', 'Thermax Ltd.', 'Clean Science And Technology Ltd.', 'Ahluwalia Contracts (India) Ltd.', 'Subros Ltd.', 'Max Healthcare Institute Ltd.', 'KEC International Ltd.', 'Essel Propack Ltd.', 'Galaxy Surfactants Ltd.', 'Central Depository Services (India) Ltd.', 'Rallis India Ltd.', 'Honeywell Automation India Ltd.', 'Fine Organic Industries Ltd.', 'Greenlam Industries Ltd.', 'Deepak Nitrite Ltd.', 'DCB Bank Ltd.', 'Shriram City Union Finance Ltd.', 'Anand Rathi Wealth Ltd.', 'Vedant Fashions Ltd.', 'Gulf Oil Lubricants India Ltd.']","['Textiles', 'Capital Goods', 'Financial', 'Materials', 'Technology', 'Technology', 'Metals & Mining', 'Consumer Staples', 'Capital Goods', 'Services', 'Construction', 'Financial', 'Materials', 'Construction', 'Materials', 'Financial', 'Construction', 'Financial', 'Services', 'Financial', 'Services', 'Consumer Staples', 'Metals & Mining', 'Materials', 'Services', 'Consumer Staples', 'Services', 'Materials', 'Materials', 'Services', 'Services', 'Construction', 'Financial', 'Financial', 'Services', 'Services', 'Materials', 'Services', 'Financial', 'Capital Goods', 'Healthcare', 'Capital Goods', 'Chemicals', 'Construction', 'Automobile', 'Healthcare', 'Capital Goods', 'Materials', 'Chemicals', 'Financial', 'Chemicals', 'Capital Goods', 'Chemicals', 'Materials', 'Chemicals', 'Financial', 'Financial', 'Financial', 'Textiles', 'Chemicals']","['2.81%', '2.8%', '2.79%', '2.73%', '2.66%', '2.62%', '2.48%', '2.4%', '2.31%', '2.31%', '2.17%', '2.15%', '2.12%', '2.12%', '1.98%', '1.94%', '1.92%', '1.91%', '1.8%', '1.75%', '1.72%', '1.72%', '1.72%', '1.63%', '1.57%', '1.55%', '1.55%', '1.53%', '1.52%', '1.51%', '1.44%', '1.43%', '1.43%', '1.42%', '1.4%', '1.39%', '1.37%', '1.35%', '1.35%', '1.29%', '1.26%', '1.24%', '1.23%', '1.23%', '1.17%', '1.16%', '1.07%', '1.06%', '1.06%', '1.04%', '1%', '1%', '0.92%', '0.86%', '0.83%', '0.77%', '0.71%', '0.64%', '0.48%', '0.14%']"
4,PGIM India Midcap Opportunities Fund,"4,887 Crs",11.49 %,75.11 %,13.4%,0%,"['Persistent Systems Ltd.', 'Cummins India Ltd.', 'ABB Ltd.', 'Federal Bank Ltd.', 'HDFC Bank Ltd.', 'Odisha Cement Ltd.', 'TVS Motor Co. Ltd.', 'Timken India Ltd.', 'Ashok Leyland Ltd.', 'Alkem Laboratories Ltd.', 'Sanofi India Ltd.', 'Varun Beverages Ltd.', 'Cholamandalam Investment & Finance Co. Ltd.', 'Kajaria Ceramics Ltd.', 'Bharat Forge Ltd.', 'Radico Khaitan Ltd.', 'Max Financial Services Ltd.', 'MindTree Ltd.', 'Tata Chemicals Ltd.', 'JB Chemicals & Pharmaceuticals Ltd.', 'Container Corpn. Of India Ltd.', 'Gujarat Gas Ltd.', 'Steel Authority Of India Ltd.', 'Zee Entertainment Enterprises Ltd.', 'Graphite India Ltd.', 'APL Apollo Tubes Ltd.', 'Aarti Industries Ltd.', 'L&T Technology Services Ltd.', 'SKF India Ltd.', 'Dixon Technologies (India) Ltd.', 'Laurus Labs Ltd.', 'Indian Hotels Co. Ltd.', 'Bharat Rasayan Ltd.', 'Sagar Cements Ltd.', 'India Glycols Ltd.', 'Sobha Ltd.', 'Infosys Ltd.', 'Stove Kraft Ltd.', 'Gokaldas Exports Ltd.', 'Glaxosmithkline Pharmaceuticals Ltd.', 'Kolte Patil Developers Ltd.', 'Gujarat State Petronet Ltd.', 'Voltas Ltd.', 'BASF India Ltd.', 'Praj Industries Ltd.', 'Greenply Industries Ltd.', 'Navin Fluorine International Ltd.', 'Minda Industries Ltd.', 'NIIT Technologies Ltd.', 'TCNS Clothing Co Ltd.']","['Technology', 'Capital Goods', 'Capital Goods', 'Financial', 'Financial', 'Materials', 'Automobile', 'Capital Goods', 'Automobile', 'Healthcare', 'Healthcare', 'Consumer Staples', 'Financial', 'Materials', 'Automobile', 'Consumer Staples', 'Financial', 'Technology', 'Chemicals', 'Healthcare', 'Services', 'Energy', 'Metals & Mining', 'Services', 'Capital Goods', 'Metals & Mining', 'Chemicals', 'Technology', 'Capital Goods', 'Capital Goods', 'Healthcare', 'Services', 'Chemicals', 'Materials', 'Chemicals', 'Construction', 'Technology', 'Consumer Discretionary', 'Textiles', 'Healthcare', 'Construction', 'Energy', 'Consumer Discretionary', 'Chemicals', 'Capital Goods', 'Materials', 'Chemicals', 'Automobile', 'Technology', 'Textiles']","['4.74%', '3.72%', '3.44%', '3.39%', '3.38%', '3.37%', '3.2%', '3.06%', '3%', '2.86%', '2.86%', '2.72%', '2.61%', '2.59%', '2.4%', '2.36%', '2.22%', '2.15%', '2.09%', '2.09%', '2.06%', '2.06%', '2.02%', '2.01%', '2%', '1.93%', '1.92%', '1.83%', '1.79%', '1.76%', '1.65%', '1.62%', '1.6%', '1.59%', '1.48%', '1.4%', '1.37%', '1.24%', '1.22%', '1.12%', '0.8%', '0.8%', '0.76%', '0.75%', '0.72%', '0.64%', '0.63%', '0.57%', '0.55%', '0.53%']"
5,SBI Contra Fund,"4,209 Crs",48.44 %,26.15 %,25.15%,0.27%,"['Nifty 50', 'GAIL (India) Ltd.', 'HCL Technologies Ltd.', 'TI Financial Holdings Ltd.', 'ICICI Bank Ltd.', 'Neogen Chemicals Ltd.', 'NMDC Ltd.', 'State Bank of India', 'Reliance Industries Ltd.', 'ITC Ltd.', 'Infosys Ltd.', 'NHPC Ltd.', 'Indian Hotels Co. Ltd.', 'Phoenix Mills Ltd.', 'Cognizant Technology Solutions Corp.', 'Axis Bank Ltd.', 'Tech Mahindra Ltd.', 'Carborundum Universal Ltd.', 'Mahindra & Mahindra Ltd.', 'Ambuja Cements Ltd.', 'Info Edge (India) Ltd.', 'Bajaj Auto Ltd.', 'Kajaria Ceramics Ltd.', 'Kotak Mahindra Bank Ltd.', 'Prism Cement Ltd.', 'Gateway Distriparks Ltd.', 'Colgate-Palmolive (India) Ltd.', 'HDFC Bank Ltd.', ""Dr. Reddy's Laboratories Ltd."", 'Equitas Micro Finance India Pvt Ltd.', 'Wendt (India) Ltd.', 'ICICI Prudential Life Insurance Company Ltd.', 'Disa India Ltd.', 'Esab India Ltd.', 'Kalpataru Power Transmission Ltd.', 'KPR Mills Ltd.', 'Bharti Airtel Ltd.', 'Greenply Industries Ltd.', 'Ashiana Housing Ltd.', 'Ashok Leyland Ltd.', 'Torrent Power Ltd.', 'Lupin Ltd.', 'Ingersoll Rand India Ltd.', 'CESC Ltd.', 'V-Guard Industries Ltd.', 'Aurobindo Pharma Ltd.', 'Automotive Axles Ltd.', 'Go Fashion (India) Ltd.', 'Bharat Petroleum Corpn. Ltd.', 'Motherson Sumi Wiring India Ltd.', 'NetFlix Inc. (USA)', 'Bank Of Baroda', 'Rallis India Ltd.', 'International Paper APPM Ltd.', 'Bosch Ltd.', 'Westlife Development Ltd.', 'JMC Projects (India) Ltd.', 'Indian Bank', 'Bharti Airtel Ltd. Partly Paid Equity', 'Prestige Estates Projects Ltd.', 'UPL Ltd.', 'Prataap Snacks Ltd.', 'Chennai Petroleum Corpn. Ltd.', 'Rolex Rings Ltd.', 'Biocon Ltd.', 'Mazagon Dock Shipbuilders Ltd.', 'Sadbhav Engineering Ltd.', 'Minda Corporation Ltd.', 'Others', 'Restaurant Brands Asia Ltd.']","['Others', 'Energy', 'Technology', 'Automobile', 'Financial', 'Chemicals', 'Metals & Mining', 'Financial', 'Energy', 'Consumer Staples', 'Technology', 'Energy', 'Services', 'Construction', 'Technology', 'Financial', 'Technology', 'Metals & Mining', 'Automobile', 'Materials', 'Services', 'Automobile', 'Materials', 'Financial', 'Materials', 'Services', 'Consumer Staples', 'Financial', 'Healthcare', 'Financial', 'Metals & Mining', 'Insurance', 'Capital Goods', 'Capital Goods', 'Capital Goods', 'Textiles', 'Communication', 'Materials', 'Construction', 'Automobile', 'Energy', 'Healthcare', 'Capital Goods', 'Energy', 'Consumer Discretionary', 'Healthcare', 'Automobile', 'Services', 'Energy', 'Automobile', 'Services', 'Financial', 'Chemicals', 'Consumer Staples', 'Automobile', 'Services', 'Construction', 'Financial', 'Communication', 'Construction', 'Chemicals', 'Consumer Staples', 'Energy', 'Capital Goods', 'Healthcare', 'Capital Goods', 'Construction', 'Automobile', 'Others', 'Services']","['7.06%', '3.16%', '2.96%', '2.93%', '2.51%', '2.43%', '2.39%', '2.26%', '2.2%', '2.17%', '2.06%', '2.02%', '1.99%', '1.8%', '1.72%', '1.7%', '1.57%', '1.51%', '1.51%', '1.49%', '1.47%', '1.36%', '1.33%', '1.31%', '1.31%', '1.26%', '1.25%', '1.23%', '1.22%', '1.22%', '1.21%', '1.17%', '1.09%', '1.08%', '1.08%', '1.07%', '1.06%', '1.01%', '1%', '0.95%', '0.93%', '0.88%', '0.87%', '0.84%', '0.82%', '0.82%', '0.81%', '0.8%', '0.77%', '0.77%', '0.77%', '0.74%', '0.71%', '0.7%', '0.69%', '0.63%', '0.61%', '0.55%', '0.54%', '0.53%', '0.5%', '0.48%', '0.39%', '0.39%', '0.36%', '0.28%', '0.22%', '0.19%', '0.05%', '0.04%']"
